date,open,high,low,close,volume,amount
2026-03-05,24992.7324,25174.3066,24744.5586,25020.4141,1135515463,0
2026-03-06,24663.7422,24886.7031,24579.8594,24643.0156,1094199196,0
2026-03-09,24429.6738,25019.1562,24289.2246,24967.248,1292076521,0
2026-03-10,25002.6074,25189.1738,24871.4375,24956.4707,1105562352,0
2026-03-11,25053.2422,25152.1152,24856.5977,24965.0059,982894635,0
2026-03-12,24771.3164,24809.2656,24522.2402,24533.582,1132824051,0
2026-03-13,24660.1934,24786.6543,24336.5254,24380.7344,923057765,0
2026-03-16,24646.1797,24794.2949,24606.457,24655.3418,1128873827,0
2026-03-17,24760.2734,24884.6836,24721.5605,24780.418,1021300854,0
2026-03-18,24727.0664,24763.5762,24417.3789,24425.0938,899166871,0
2026-03-19,24119.373,24462.1543,24100.877,24355.2754,990048578,0
2026-03-20,24257.5625,24267.334,23759.9668,23898.1543,1137567166,0
2026-03-23,24270.7734,24465.1562,24097.6758,24188.5898,1175608914,0
2026-03-24,24042.2324,24170.834,23927.6934,24002.4473,1090758580,0
2026-03-25,24236.4043,24314.252,24081.3809,24162.9766,1136844100,0
2026-03-26,23913.1914,24029.5137,23574.7168,23586.9941,1040864567,0
2026-03-27,23463.7461,23472.8906,23088.9941,23132.7715,1220895109,0
2026-03-30,23307.7461,23356.752,22841.418,22953.377,1034436562,0
2026-03-31,23208.0,23789.6016,23198.6426,23740.1895,1440165465,0
2026-04-01,23883.293,24162.6816,23871.6113,24019.9883,1238355352,0
2026-04-02,23621.7324,24076.3496,23512.5938,24045.5332,1022962989,0
2026-04-06,24143.0176,24265.1367,24039.0312,24192.166,881364572,0
2026-04-07,24109.5684,24209.2773,23779.8535,24202.3711,1021047980,0
2026-04-08,25045.3594,25045.3594,24756.9277,24903.166,1325061725,0
2026-04-09,24918.2773,25097.4512,24788.918,25082.0859,1197499575,0
2026-04-10,25165.0586,25226.0605,25057.6504,25116.3379,1175497365,0
2026-04-13,25069.0723,25387.6855,24999.1953,25383.7168,905623721,0
2026-04-14,25514.5547,25841.9961,25514.5547,25841.9961,1192256067,0
2026-04-15,25859.1895,26214.5684,25828.7637,26204.5801,1015896856,0
2026-04-16,26256.8789,26400.5215,26113.6523,26333.0,965171308,0
2026-04-17,26551.1582,26719.5566,26481.2441,26672.4336,1201473476,0
2026-04-20,26662.3184,26670.1152,26412.5176,26590.3438,1050335716,0
